InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
C536826,23355,HOT WATER BOTTLE KEEP CALM,-1,01/03/2011 15:09,4.8,13098.0,Spain
537071,23355,HOT WATER BOTTLE KEEP CALM,9,01/03/2011 15:29,4.76,13318.0,United Kingdom
C536867,22197,SMALL POPCORN HOLDER,-172,01/03/2011 15:41,0.81,13244.0,United Kingdom
536840,20974,PINK CHERRY LIGHTS,5,01/03/2011 15:42,5.5,12855.0,United Kingdom
536772,20713,BAG 250g SWIRLY MARBLES,118,01/03/2011 16:12,0.45,13494.0,United Kingdom
536802,22145,CHRISTMAS CRAFT PAPER TAPE,134,01/03/2011 16:23,0.32,12895.0,United Kingdom
536535,71053,WHITE METAL LANTERN,4,01/03/2011 16:28,3.43,13835.0,United Kingdom
536655,71053,WHITE METAL LANTERN,6,01/03/2011 16:55,3.02,13262.0,United Kingdom
536872,71053,WHITE METAL LANTERN,8,01/03/2011 16:59,3.29,12706.0,United Kingdom
536770,22197,SMALL POPCORN HOLDER,71,01/03/2011 17:26,0.99,12703.0,United Kingdom
536710,85014,BLUE POLKADOT WRAP,3,01/03/2011 17:37,0.48,12745.0,United Kingdom
536815,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,01/03/2011 17:37,2.09,12731.0,Germany
536407,22469,HEART OF WICKER SMALL,6,01/03/2011 17:48,1.97,12359.0,United Kingdom
536691,22197,SMALL POPCORN HOLDER,8,01/03/2011 18:05,0.81,12780.0,France
536828,22960,JAM MAKING SET WITH JARS,10,01/03/2011 18:11,3.97,13065.0,United Kingdom
536605,23084,RABBIT NIGHT LIGHT,5,01/03/2011 18:17,1.86,12471.0,Germany
537034,22457,NATURAL SLATE HEART CHALKBOARD,10,01/03/2011 18:19,5.63,13595.0,United Kingdom
536859,22386,JUMBO BAG APPLE DESIGN,5,01/03/2011 18:25,1.94,12450.0,United Kingdom
536750,22457,NATURAL SLATE HEART CHALKBOARD,3,01/03/2011 18:38,5.28,13506.0,United Kingdom
536803,20725,LUNCH BAG RED RETROSPOT,3,01/03/2011 18:42,4.13,12656.0,Germany
536435,DOT,DOTCOM POSTAGE,2,01/04/2011 08:09,17.89,12593.0,United Kingdom
537064,22423,REGENCY CAKESTAND 3 TIER,69,01/04/2011 08:26,13.61,12532.0,United Kingdom
536788,22423,REGENCY CAKESTAND 3 TIER,10,01/04/2011 08:32,11.47,13465.0,United Kingdom
C536996,22632,HAND WARMER RED POLKA DOT,-9,01/04/2011 08:34,1.58,12458.0,United Kingdom
536821,22145,CHRISTMAS CRAFT PAPER TAPE,7,01/04/2011 08:37,0.32,13828.0,United Kingdom
536999,20713,BAG 250g SWIRLY MARBLES,9,01/04/2011 09:08,0.39,13631.0,United Kingdom
536837,84406B,CREAM CUPID HEARTS COAT HANGER,1,01/04/2011 09:49,2.53,13134.0,United Kingdom
536598,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,01/04/2011 09:50,2.82,13170.0,United Kingdom
536372,22632,HAND WARMER RED POLKA DOT,8,01/04/2011 09:53,1.76,13230.0,United Kingdom
536922,84029E,RED WOOLLY HOTTIE WHITE HEART,2,01/04/2011 09:54,2.76,12645.0,United Kingdom
536380,71053,WHITE METAL LANTERN,4,01/04/2011 10:00,3.75,13279.0,Portugal
536858,22752,SET 7 BABUSHKA NESTING BOXES,9,01/04/2011 10:32,7.98,12360.0,United Kingdom
536841,22457,NATURAL SLATE HEART CHALKBOARD,7,01/04/2011 11:07,4.03,12594.0,United Kingdom
C536421,22960,JAM MAKING SET WITH JARS,-1,01/04/2011 11:26,3.87,13572.0,United Kingdom
536914,85123A,WHITE HANGING HEART T-LIGHT HOLDER,149,01/04/2011 11:47,2.56,13545.0,United Kingdom
536474,22145,CHRISTMAS CRAFT PAPER TAPE,10,01/04/2011 12:01,0.24,13419.0,United Kingdom
536997,22752,SET 7 BABUSHKA NESTING BOXES,51,01/04/2011 12:03,6.78,13741.0,United Kingdom
536480,22145,CHRISTMAS CRAFT PAPER TAPE,1,01/04/2011 12:10,0.25,13698.0,United Kingdom
536601,22197,SMALL POPCORN HOLDER,3,01/04/2011 12:12,0.68,13629.0,United Kingdom
C536832,22811,SET 6 RED SPOTTY PAPER PLATES,-9,01/04/2011 12:33,3.18,13008.0,United Kingdom
536683,84029E,RED WOOLLY HOTTIE WHITE HEART,1,01/04/2011 12:51,3.21,,United Kingdom
536464,22960,JAM MAKING SET WITH JARS,8,01/04/2011 13:21,4.27,13383.0,United Kingdom
C537080,22145,CHRISTMAS CRAFT PAPER TAPE,-6,01/04/2011 13:40,0.3,,United Kingdom
536513,20974,PINK CHERRY LIGHTS,9,01/04/2011 13:42,4.73,13767.0,United Kingdom
536457,22469,HEART OF WICKER SMALL,2,01/04/2011 13:45,1.96,12938.0,United Kingdom
536772,22633,HAND WARMER UNION JACK,85,01/04/2011 13:51,1.88,12531.0,United Kingdom
536908,22816,SET 6 RED SPOTTY PAPER CUPS,3,01/04/2011 13:55,2.88,12645.0,United Kingdom
536555,20974,PINK CHERRY LIGHTS,5,01/04/2011 14:17,4.93,13614.0,United Kingdom
536702,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,159,01/04/2011 14:36,3.96,12896.0,United Kingdom
536980,20725,LUNCH BAG RED RETROSPOT,9,01/04/2011 14:52,4.93,13386.0,United Kingdom
536770,23355,HOT WATER BOTTLE KEEP CALM,3,01/04/2011 15:01,5.8,13829.0,United Kingdom
536900,POST,POSTAGE,196,01/04/2011 15:11,19.63,12900.0,United Kingdom
536440,23084,RABBIT NIGHT LIGHT,7,01/04/2011 15:35,1.95,13800.0,United Kingdom
536570,22752,SET 7 BABUSHKA NESTING BOXES,145,01/04/2011 16:26,8.59,12677.0,United Kingdom
537046,22457,NATURAL SLATE HEART CHALKBOARD,182,01/04/2011 16:41,4.17,13689.0,United Kingdom
C536982,23084,RABBIT NIGHT LIGHT,-9,01/04/2011 16:44,2.01,12998.0,United Kingdom
C536682,20713,BAG 250g SWIRLY MARBLES,-1,01/04/2011 16:46,0.37,13134.0,Portugal
536723,22469,HEART OF WICKER SMALL,4,01/04/2011 17:01,1.81,12460.0,United Kingdom
537108,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,01/04/2011 17:02,3.66,12912.0,United Kingdom
536622,71053,WHITE METAL LANTERN,9,01/04/2011 17:19,3.49,13143.0,Spain
536489,22960,JAM MAKING SET WITH JARS,5,01/04/2011 17:24,5.04,12654.0,United Kingdom
537063,23355,HOT WATER BOTTLE KEEP CALM,4,01/04/2011 18:29,4.26,13811.0,United Kingdom
536592,22632,HAND WARMER RED POLKA DOT,9,01/04/2011 18:29,2.1,12748.0,United Kingdom
536742,22375,AIRLINE BAG VINTAGE WORLD CHAMPION,7,01/04/2011 18:45,4.16,13175.0,United Kingdom
537095,DOT,DOTCOM POSTAGE,2,01/05/2011 08:50,15.99,13470.0,United Kingdom
536414,22375,AIRLINE BAG VINTAGE WORLD CHAMPION,9,01/05/2011 09:21,4.25,12682.0,Belgium
536863,22633,HAND WARMER UNION JACK,5,01/05/2011 09:37,1.81,13302.0,United Kingdom
536768,DOT,DOTCOM POSTAGE,6,01/05/2011 10:01,20.04,12573.0,United Kingdom
536605,DOT,DOTCOM POSTAGE,10,01/05/2011 10:38,17.61,12434.0,Spain
536579,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,01/05/2011 10:54,4.74,13070.0,United Kingdom
536520,22890,NOVELTY BICYCLE BOTTLE OPENER,10,01/05/2011 11:35,1.22,,Spain
536454,22890,NOVELTY BICYCLE BOTTLE OPENER,8,01/05/2011 11:38,1.33,13486.0,United Kingdom
536804,22423,REGENCY CAKESTAND 3 TIER,10,01/05/2011 11:47,12.97,13379.0,United Kingdom
536370,22145,CHRISTMAS CRAFT PAPER TAPE,3,01/05/2011 12:49,0.3,13195.0,EIRE
536570,23355,HOT WATER BOTTLE KEEP CALM,2,01/05/2011 13:26,5.52,13169.0,United Kingdom
536969,23084,RABBIT NIGHT LIGHT,5,01/05/2011 13:55,1.95,,United Kingdom
537043,20974,PINK CHERRY LIGHTS,8,01/05/2011 14:08,5.24,12990.0,United Kingdom
536420,20725,LUNCH BAG RED RETROSPOT,9,01/05/2011 15:03,3.75,12368.0,Italy
537011,84406B,CREAM CUPID HEARTS COAT HANGER,8,01/05/2011 15:25,3.01,13697.0,United Kingdom
536933,22145,CHRISTMAS CRAFT PAPER TAPE,3,01/05/2011 15:36,0.33,13762.0,United Kingdom
536404,22632,HAND WARMER RED POLKA DOT,8,01/05/2011 15:59,2.19,13150.0,United Kingdom
536776,22890,NOVELTY BICYCLE BOTTLE OPENER,7,01/05/2011 16:28,1.25,13529.0,United Kingdom
536846,22386,JUMBO BAG APPLE DESIGN,148,01/05/2011 16:37,1.95,,United Kingdom
536366,22752,SET 7 BABUSHKA NESTING BOXES,3,01/05/2011 17:04,6.29,12827.0,Italy
536872,22633,HAND WARMER UNION JACK,1,01/05/2011 17:13,1.6,13132.0,United Kingdom
536557,23355,HOT WATER BOTTLE KEEP CALM,5,01/05/2011 17:45,5.32,12571.0,United Kingdom
537092,22145,CHRISTMAS CRAFT PAPER TAPE,9,01/05/2011 17:47,0.34,13134.0,United Kingdom
C536713,22960,JAM MAKING SET WITH JARS,-137,01/05/2011 17:49,4.13,13369.0,United Kingdom
536757,84406B,CREAM CUPID HEARTS COAT HANGER,8,01/05/2011 17:55,2.26,12944.0,United Kingdom
536806,22960,JAM MAKING SET WITH JARS,1,01/05/2011 18:05,3.96,12565.0,United Kingdom
537105,23084,RABBIT NIGHT LIGHT,2,01/05/2011 18:09,1.83,13792.0,United Kingdom
536794,22423,REGENCY CAKESTAND 3 TIER,1,01/05/2011 18:36,11.9,13201.0,United Kingdom
C536864,22145,CHRISTMAS CRAFT PAPER TAPE,-1,01/05/2011 18:57,0.27,13205.0,Spain
536591,22816,SET 6 RED SPOTTY PAPER CUPS,5,01/05/2011 18:57,2.39,13800.0,United Kingdom
536750,22816,SET 6 RED SPOTTY PAPER CUPS,3,01/06/2011 08:08,3.03,12765.0,United Kingdom
536764,22720,SET OF 3 CAKE TINS PANTRY DESIGN,8,01/06/2011 08:16,9.19,12466.0,United Kingdom
536990,84879,ASSORTED COLOUR BIRD ORNAMENT,3,01/06/2011 08:39,1.83,13064.0,United Kingdom
536671,22145,CHRISTMAS CRAFT PAPER TAPE,8,01/06/2011 08:54,0.32,13214.0,United Kingdom
C536822,22632,HAND WARMER RED POLKA DOT,-9,01/06/2011 08:56,2.07,13039.0,Italy
536985,20713,BAG 250g SWIRLY MARBLES,10,01/06/2011 09:07,0.43,13378.0,United Kingdom
536557,85014,BLUE POLKADOT WRAP,5,01/06/2011 09:37,0.39,13106.0,Netherlands
536812,22633,HAND WARMER UNION JACK,175,01/06/2011 09:42,1.92,13124.0,France
536834,22457,NATURAL SLATE HEART CHALKBOARD,3,01/06/2011 09:59,5.02,12755.0,United Kingdom
536591,22816,SET 6 RED SPOTTY PAPER CUPS,2,01/06/2011 10:05,2.36,12533.0,EIRE
537112,22752,SET 7 BABUSHKA NESTING BOXES,8,01/06/2011 10:32,8.47,13017.0,United Kingdom
536828,22197,SMALL POPCORN HOLDER,6,01/06/2011 11:05,0.91,12910.0,United Kingdom
536767,20713,BAG 250g SWIRLY MARBLES,75,01/06/2011 11:39,0.34,13429.0,United Kingdom
537090,84879,ASSORTED COLOUR BIRD ORNAMENT,8,01/06/2011 12:08,1.63,13343.0,United Kingdom
C536713,22375,AIRLINE BAG VINTAGE WORLD CHAMPION,-8,01/06/2011 12:11,4.8,13681.0,United Kingdom
537112,85014,BLUE POLKADOT WRAP,121,01/06/2011 12:22,0.5,,United Kingdom
536771,22720,SET OF 3 CAKE TINS PANTRY DESIGN,9,01/06/2011 12:25,7.86,13722.0,United Kingdom
536819,23084,RABBIT NIGHT LIGHT,8,01/06/2011 12:33,2.1,12474.0,Portugal
536973,22752,SET 7 BABUSHKA NESTING BOXES,7,01/06/2011 12:56,7.25,13132.0,United Kingdom
536990,71053,WHITE METAL LANTERN,5,01/06/2011 13:48,3.92,13813.0,United Kingdom
536918,22145,CHRISTMAS CRAFT PAPER TAPE,4,01/06/2011 13:56,0.31,13608.0,Germany
536603,22386,JUMBO BAG APPLE DESIGN,67,01/06/2011 15:23,1.8,13519.0,United Kingdom
536961,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,01/06/2011 15:30,3.23,,United Kingdom
537018,22960,JAM MAKING SET WITH JARS,8,01/06/2011 15:41,5.03,13240.0,Belgium
536898,22145,CHRISTMAS CRAFT PAPER TAPE,1,01/06/2011 15:53,0.26,13410.0,United Kingdom
C536931,22811,SET 6 RED SPOTTY PAPER PLATES,-2,01/06/2011 15:55,3.26,12833.0,United Kingdom
536857,22633,HAND WARMER UNION JACK,8,01/06/2011 16:19,1.86,12369.0,United Kingdom
536937,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,01/06/2011 16:44,3.02,13010.0,France
536789,22811,SET 6 RED SPOTTY PAPER PLATES,57,01/06/2011 17:04,3.08,12815.0,United Kingdom
536971,22811,SET 6 RED SPOTTY PAPER PLATES,1,01/06/2011 17:13,2.59,12789.0,Netherlands
536465,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,9,01/06/2011 17:18,3.07,13292.0,United Kingdom
536964,20974,PINK CHERRY LIGHTS,9,01/06/2011 17:31,4.78,13837.0,Portugal
536976,22720,SET OF 3 CAKE TINS PANTRY DESIGN,47,01/06/2011 17:34,9.65,12435.0,Germany
536914,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,01/06/2011 18:22,2.84,12792.0,United Kingdom
536783,20713,BAG 250g SWIRLY MARBLES,3,01/06/2011 18:26,0.44,12984.0,United Kingdom
536438,22816,SET 6 RED SPOTTY PAPER CUPS,126,01/06/2011 18:27,2.8,12639.0,EIRE
536997,84029E,RED WOOLLY HOTTIE WHITE HEART,6,01/06/2011 18:31,3.58,,United Kingdom
536775,22816,SET 6 RED SPOTTY PAPER CUPS,6,01/07/2011 08:09,2.44,13596.0,United Kingdom
536677,20725,LUNCH BAG RED RETROSPOT,3,01/07/2011 08:29,3.5,12908.0,United Kingdom
536810,22720,SET OF 3 CAKE TINS PANTRY DESIGN,9,01/07/2011 08:48,10.0,12848.0,United Kingdom
536916,22386,JUMBO BAG APPLE DESIGN,10,01/07/2011 09:50,1.8,13588.0,United Kingdom
536967,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,01/07/2011 10:33,2.87,13713.0,United Kingdom
536770,20725,LUNCH BAG RED RETROSPOT,1,01/07/2011 10:39,4.63,13458.0,United Kingdom
537040,POST,POSTAGE,3,01/07/2011 10:39,17.68,12525.0,United Kingdom
536670,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,01/07/2011 10:56,2.73,13349.0,United Kingdom
536888,23355,HOT WATER BOTTLE KEEP CALM,4,01/07/2011 11:22,4.62,12482.0,Germany
536979,22375,AIRLINE BAG VINTAGE WORLD CHAMPION,119,01/07/2011 11:41,4.12,13130.0,United Kingdom
536846,22811,SET 6 RED SPOTTY PAPER PLATES,21,01/07/2011 11:48,2.89,12655.0,United Kingdom
536750,22423,REGENCY CAKESTAND 3 TIER,8,01/07/2011 11:53,12.98,13225.0,United Kingdom
536852,22423,REGENCY CAKESTAND 3 TIER,39,01/07/2011 11:58,15.29,12824.0,United Kingdom
536654,85014,BLUE POLKADOT WRAP,9,01/07/2011 12:19,0.34,13224.0,United Kingdom
536473,22457,NATURAL SLATE HEART CHALKBOARD,10,01/07/2011 13:03,4.51,12708.0,United Kingdom
536898,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,01/07/2011 13:22,2.72,13651.0,United Kingdom
536439,22816,SET 6 RED SPOTTY PAPER CUPS,1,01/07/2011 13:28,3.08,,United Kingdom
536955,20713,BAG 250g SWIRLY MARBLES,8,01/07/2011 13:29,0.38,13442.0,United Kingdom
536386,POST,POSTAGE,6,01/07/2011 13:45,15.2,,United Kingdom
536647,84879,ASSORTED COLOUR BIRD ORNAMENT,112,01/07/2011 13:53,1.82,12460.0,United Kingdom
536580,22145,CHRISTMAS CRAFT PAPER TAPE,6,01/07/2011 14:20,0.24,12537.0,France
536574,20725,LUNCH BAG RED RETROSPOT,2,01/07/2011 14:34,4.61,12554.0,EIRE
536685,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,01/07/2011 14:52,2.28,13365.0,United Kingdom
536381,22632,HAND WARMER RED POLKA DOT,7,01/07/2011 15:38,1.97,13166.0,United Kingdom
536707,22386,JUMBO BAG APPLE DESIGN,9,01/07/2011 15:47,1.82,13208.0,United Kingdom
536429,84879,ASSORTED COLOUR BIRD ORNAMENT,10,01/07/2011 15:53,1.39,12669.0,United Kingdom
536595,22197,SMALL POPCORN HOLDER,9,01/07/2011 16:09,0.82,13574.0,United Kingdom
536756,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,01/07/2011 16:27,2.73,13461.0,United Kingdom
536702,23084,RABBIT NIGHT LIGHT,6,01/07/2011 16:54,1.87,13272.0,United Kingdom
536704,22633,HAND WARMER UNION JACK,7,01/07/2011 17:04,2.08,,France
536986,22811,SET 6 RED SPOTTY PAPER PLATES,1,01/07/2011 17:11,2.63,13696.0,United Kingdom
536584,20713,BAG 250g SWIRLY MARBLES,62,01/07/2011 17:15,0.4,12750.0,United Kingdom
537041,22752,SET 7 BABUSHKA NESTING BOXES,4,01/07/2011 17:31,6.19,13008.0,United Kingdom
